team,player,n_matches,n_passes,actual_completion_rate,mean_xpass,completion_over_expected,mean_success_value,mean_failure_cost,total_expected_success_value,expected_success_value_per_100_passes,total_expected_failure_cost,expected_failure_cost_per_100_passes,total_expected_net_value,expected_net_value_per_100_passes,total_realized_value,realized_value_per_100_passes,total_execution_residual,execution_residual_per_100_passes,eligible_primary,actual_completion_rate_ci_low,actual_completion_rate_ci_high,mean_xpass_ci_low,mean_xpass_ci_high,execution_residual_per_100_passes_ci_low,execution_residual_per_100_passes_ci_high,expected_success_value_per_100_passes_ci_low,expected_success_value_per_100_passes_ci_high,expected_failure_cost_per_100_passes_ci_low,expected_failure_cost_per_100_passes_ci_high,expected_net_value_per_100_passes_ci_low,expected_net_value_per_100_passes_ci_high,realized_value_per_100_passes_ci_low,realized_value_per_100_passes_ci_high,decision_execution_quadrant,team_decision_reference,team_execution_reference,decision_rank_within_team,execution_rank_within_team
AS Monaco,Marcos Paulo Mesquita Lopes,2,27,0.7777777777777778,0.8121515925925926,-0.034373814814814815,0.006356370022222221,0.09558305407407408,0.020480356700000004,0.07585317296296298,0.51658626966,1.9132824802222221,-0.49610590347,-1.837429272111111,-0.6152181339,-2.278585681111111,-0.9280930000000001,-3.4373814814814816,False,0.75,0.8,0.7812429133333333,0.8368785360000001,-3.6878536,-3.1242913333333324,-0.17780342533333335,0.3929239208333333,1.8234721191666665,1.9851307690666669,-2.1629341504666666,-1.4305481741666668,-3.6079078399999998,-0.6169329825000002,Not eligible,,,26,28
AS Monaco,Mario Pašalić,16,432,0.7800925925925926,0.8089274600694445,-0.028834867592592593,0.012707239449703702,0.09556722754861112,-0.041720440556999944,-0.009657509388194431,6.924325302870001,1.6028530793680558,-6.966045723395,-1.6125105841192129,-9.633328046224001,-2.229937047737037,-12.4566628,-2.883486759259259,True,0.7426267509557879,0.8193643263757115,0.7827779029828881,0.8369226498088128,-5.627615711492835,-0.2642015263613232,-0.2774300715136698,0.27374518664662884,1.3505936606309883,1.8713379781319972,-1.9272406048230202,-1.287572502658294,-2.9146935698107517,-1.5407934177140938,Low decision value / Low execution,-0.5409120527621053,0.550318538787024,22,27
AS Monaco,Mohamed Ilyes Salah Chaïbi,1,3,1.0,0.8848124999999999,0.1151875,0.003173704,0.11218028533333335,0.0067942850000000015,0.2264761666666667,0.0414430175,1.3814339166666665,-0.0346487336,-1.1549577866666667,0.009521112,0.3173704,0.3455625,11.518749999999999,False,1.0,1.0,0.8848124999999999,0.8848124999999999,11.518749999999999,11.518749999999999,0.2264761666666667,0.2264761666666667,1.3814339166666665,1.3814339166666665,-1.1549577866666667,-1.1549577866666667,0.3173704,0.3173704,Not eligible,,,16,1
AS Monaco,Nabil Dirar,20,707,0.6647807637906648,0.6727917581499292,-0.008010994056577087,0.061886813370512016,0.09602316108203678,9.890058372839,1.3988767146872703,21.372759478802,3.0230211426876945,-11.48270113657,-1.6241444323295613,-13.971661534778,-1.9761897503222066,-5.663772798,-0.8010994056577087,True,0.6192196641592584,0.7093719574323559,0.652716313111621,0.6942302331903952,-3.9070747635964236,2.066249109484988,0.9825125288273896,1.8302486339526363,2.638468425570325,3.399663233672495,-2.01809663421286,-1.169514625324287,-2.8884827967642384,-0.968745611589474,Low decision value / Low execution,-0.5409120527621053,0.550318538787024,23,20
AS Monaco,Paul Nardi,2,28,0.8928571428571429,0.8424114042857143,0.05044573750000001,0.009136095014571428,0.16290364282142858,0.088345509167,0.3155196755964286,0.31194089176,1.1140746134285715,-0.22359538616,-0.7985549505714286,-0.05096234849200001,-0.1820083874714286,1.4124806500000002,5.0445737500000005,False,0.8181818181818182,0.9411764705882353,0.7275695990909091,0.9167208076470589,2.445566294117647,9.061221636363637,0.1540652675117647,0.5650401244545454,0.8859599497647058,1.4666154572727272,-0.9015753481818181,-0.7318946932941176,-0.3218318378352941,0.034082399454545435,Not eligible,,,13,3
AS Monaco,Ricardo Alberto Silveira de Carvalho,33,1377,0.879448075526507,0.851050436688453,0.028397639019607845,0.012151688788248368,0.102893553345679,8.421110618478,0.6115548742540305,13.009569976379002,0.9447763236295572,-4.5884593784617005,-0.3332214508686783,-1.9347204561519997,-0.1405025748839506,39.10354893,2.8397639019607843,True,0.8547655068078669,0.9029628027681661,0.8359113514843712,0.8659912602669098,1.230637828966718,4.375578561780908,0.5258847995073076,0.6990749885126405,0.8473893900245906,1.0640378691477292,-0.4758126010896972,-0.23258858791586284,-0.43785008108698814,0.13213013156048425,High decision value / High execution,-0.5409120527621053,0.550318538787024,6,8
AS Monaco,Stephan El Shaarawy,15,271,0.8228782287822878,0.7795043902214022,0.04337383926199263,0.02471059829533211,0.09881777164944648,1.603976821293,0.5918733657907749,6.3072907778400005,2.327413571158672,-4.7033139827590995,-1.7355402150402581,-2.578420751695,-0.9514467718431734,11.754310440000003,4.337383926199263,True,0.7567246991517065,0.8940793829449152,0.7529789692972757,0.8035873416102154,-1.7239678502073736,10.395329294637676,0.25735504534472414,0.9520467573218365,2.010354667348455,2.7401475708497864,-2.1570767132370015,-1.383837369915614,-2.1850123891870044,0.35821560876449365,Low decision value / High execution,-0.5409120527621053,0.550318538787024,25,4
AS Monaco,Thomas Lemar,26,816,0.7720588235294118,0.7609648389497549,0.01109398432843137,0.035872224510852944,0.09169697633455882,7.321003326123,0.8971817801621323,18.15984329471,2.2254709919987747,-10.838839995408001,-1.3282892151235297,-12.429195018805999,-1.5231856640693626,9.052691211999997,1.109398432843137,True,0.7371618141191728,0.8097561930928936,0.7437424550352687,0.7789362029893376,-2.4601054439117966,4.400893008993771,0.5872548611706695,1.244233215753413,2.010821791640025,2.4382821592585158,-1.5852379323882209,-1.0361384685836381,-2.1397537020372948,-0.9163289855855444,Low decision value / High execution,-0.5409120527621053,0.550318538787024,17,12
AS Monaco,Tiemoué Bakayoko,19,746,0.8418230563002681,0.8554615643378016,-0.013638507809651477,0.006013171527363271,0.08832286468364611,1.6786734610603,0.22502325215285524,8.174581794056,1.0957884442434316,-6.495908340533,-0.8707651931009384,-8.276073335936001,-1.1093932085705094,-10.174326826000001,-1.3638507809651477,True,0.8010344827586207,0.878605794151187,0.8332964827425473,0.8758316353047766,-4.456051394134629,1.7917338322602134,0.07371051095728273,0.3623826158088357,0.9336455298218245,1.2899347320957608,-1.1104820329434137,-0.6225687193880274,-1.556633103734521,-0.7504220930147577,Low decision value / Low execution,-0.5409120527621053,0.550318538787024,14,22
AS Monaco,Vágner Silva de Souza,12,193,0.6839378238341969,0.7260213474507773,-0.04208352361658029,0.01811027299316062,0.10085501420725387,0.6176615418440001,0.3200318869658032,5.16194400967,2.6745823884300517,-4.5442824869,-2.3545505113471505,-6.07545244683,-3.1479028221917096,-8.122120057999997,-4.208352361658029,False,0.6382951994012617,0.7371625615763546,0.6824510468553477,0.7628264496288858,-6.669644126064874,-0.9354023569742941,-0.1513050529986287,0.7677850077897366,2.230334074219161,3.170131951369447,-3.0012579721821626,-1.720246812581178,-3.7644511485370367,-2.510056153317199,Not eligible,,,28,30
AS Monaco,Wallace Fortuna dos Santos,26,950,0.7673684210526316,0.7949815050210526,-0.02761308426315789,0.01594308485767474,0.09844081388736842,6.291179507176,0.662229421808,11.42984397947,1.2031414715231579,-5.138664501240001,-0.5409120527621053,-9.514128059237,-1.0014871641302105,-26.232430049999998,-2.7613084263157894,True,0.7250685833723424,0.8037844062849194,0.7744779396725014,0.813812804829313,-5.303389444056303,-0.6854393646775886,0.5331048757497774,0.7863403458206562,1.09272617921949,1.3293082137731107,-0.6986069787361967,-0.4001698884788488,-1.3525375251917733,-0.692022031179879,High decision value / Low execution,-0.5409120527621053,0.550318538787024,10,26
Athletic Club,Ager Aketxe Barrutia,3,81,0.7407407407407407,0.6590285552098765,0.08171218540740742,0.04045047003691358,0.09469768402469136,0.38391057227299996,0.47396366947283947,2.7073206457,3.342371167530864,-2.3234100889,-2.8684075171604935,-2.4150723263800002,-2.9815707733086425,6.618687018000001,8.17121854074074,False,0.6666666666666666,0.7692307692307693,0.6362171805,0.6786155355641027,1.4267360833333325,9.711615150000002,0.31178734877666664,0.6392001441666667,3.0509426776923076,4.965375475,-4.326175308333333,-2.5030700130769232,-7.514044508333334,-2.129505808,Not eligible,,,22,2
Athletic Club,Ander Iturraspe Derteano,16,404,0.8044554455445545,0.7429850829133663,0.061470362358910895,0.020342866002519805,0.08392141039108911,1.5670119149909998,0.3878742363839109,7.2033310923,1.7830027456188118,-5.636319182039999,-1.3951285104059403,-3.81280261213,-0.9437630228044555,24.834026393000002,6.14703623589109,True,0.7710084714089946,0.8375686754095942,0.7207479448009402,0.7619533422205086,3.656744245842472,8.96910410419964,0.2189563250926341,0.5764117644059638,1.5288471028995125,2.135424354488327,-1.687390335000129,-1.1875780093996455,-1.4359643357838414,-0.3840993285053144,Low decision value / High execution,-0.847482984938748,1.4218403632596688,14,3
Athletic Club,Aritz Aduriz Zubeldia,34,723,0.6085753803596127,0.6057310733803597,0.00284430725587829,0.030133279620113418,0.11619365372060858,4.6259004082956,0.6398202501100414,34.258589241349995,4.738394085940525,-29.632688959899998,-4.098573853374827,-30.162211472688,-4.171813481699585,2.0564341460000035,0.28443072558782895,True,0.5712228950051856,0.6457630792227205,0.57683808619624,0.6311598460029963,-3.3940791917219317,3.7855911647439418,0.3053280098817272,0.9718984629296649,4.361603809586385,5.102368364989868,-4.532833044704164,-3.682890095880047,-4.890427006033889,-3.45937957308107,Low decision value / Low execution,-0.847482984938748,1.4218403632596688,24,17
Athletic Club,Aymeric Laporte,26,1261,0.816812053925456,0.8010471683425852,0.01576488552735924,0.019901449173163048,0.11407750430452021,9.898417629903598,0.7849657121255827,15.375684841024,1.2193247296609042,-5.477267195725,-0.43435901631443297,-5.802677527551401,-0.4601647523831405,19.87952065,1.5764885527359238,True,0.791856732529512,0.8399754092295332,0.7870413393158302,0.8147823462268153,0.0012572263019791636,2.968193011205179,0.6851945066877458,0.9049855991235441,1.131795280216261,1.3312681076418336,-0.5555400359844536,-0.31939773582930747,-0.6777542660156722,-0.22601188218851492,High decision value / High execution,-0.847482984938748,1.4218403632596688,1,11
